"id";"uuid";"session_id";"utm_source";"utm_medium";"utm_campaign"
"4255";"1534019404.1726608826";"1726610240";;;"(not set)"
"4257";"1544215904.1725304369";"1726613742";"google";"organic";"(not set)"
"4258";"2122792873.1726614284";"1726614307";"google";"cpc";"(not set)"
"4259";"85389975.1726614091";"1726614366";"google";"cpc";"(not set)"
"4260";"85389975.1726614091";"1726618263";"google";"cpc";"(not set)"
"4261";"1484598938.1722411850";"1726622070";;;"(not set)"
"4262";"957366568.1714088217";"1726627204";"l.facebook.com";"referral";"(not set)"
"4263";"499388700.1726628127";"1726628166";"google";"organic";"(not set)"
"4264";"887256123.1718476756";"1726629503";"google";"cpc";"(not set)"
"4265";"1623560660.1713989532";"1726630482";;;"(not set)"
"4266";"970010414.1721850204";"1726630663";;;"(not set)"
"4267";"1623560660.1713989532";"1726630743";;;"(not set)"
"4268";"1623560660.1713989532";"1726631349";;;"(not set)"
"4269";"2145309317.1726631555";"1726631604";;;"(not set)"
"4270";"493090045.1726632992";"1726633048";;;"(not set)"
"4271";"1728527294.1726633327";"1726633388";"google";"cpc";"(not set)"
"4272";"218822339.1726633440";"1726633533";"google";"cpc";"(not set)"
"4273";"1684514725.1726633574";"1726633597";;;"(not set)"
"4274";"1181902011.1721457838";"1726633868";"(direct)";"(none)";"(not set)"
"4275";"1538208220.1721451668";"1726633981";"facebook";"cpc";"campaign_1"
"4276";"1462885325.1726634368";"1726634526";;;"(not set)"
"4277";"439205377.1726634344";"1726634649";;;"(not set)"
"4278";"1971804983.1726634508";"1726634662";;;"(not set)"
"4279";"919535513.1726634607";"1726634838";"(direct)";"(none)";"(not set)"
"4280";"604876604.1721536488";"1726635021";"google";"cpc";"(not set)"
"4281";"1218103037.1726634932";"1726635022";"google";"cpc";"(not set)"
"4282";"836310086.1714714301";"1726635133";;;"(not set)"
"4283";"1035466907.1720186912";"1726635824";"google";"cpc";"(not set)"
"4284";"1817262108.1726148817";"1726636152";"google";"cpc";"(not set)"
"4286";"1225513416.1725006719";"1726637018";"facebook";"cpc";"campaign_1"
"4287";"1605045502.1726637015";"1726637056";"google";"cpc";"(not set)"
"4288";"1602427976.1726636968";"1726637117";;;"(not set)"
"4289";"1165632336.1726199126";"1726637232";"facebook";"cpc";"campaign_1"
"4290";"1889930189.1724078980";"1726637312";;;"(not set)"
"4291";"1797841328.1726637146";"1726637372";;;"(not set)"
"4292";"1068486913.1726637351";"1726637394";"google";"cpc";"(not set)"
"4293";"888771995.1726637288";"1726637417";;;"(not set)"
"4294";"884002205.1726633136";"1726637650";"google";"cpc";"(not set)"
"4295";"1845768392.1726637863";"1726637901";"google";"organic";"(not set)"
"4296";"384819886.1716989033";"1726637970";;;"(not set)"
"4297";"942542722.1726516756";"1726638048";"google";"cpc";"(not set)"
"4298";"27690155.1726638032";"1726638062";"facebook";"cpc";"campaign_1"
"4299";"112414870.1726638306";"1726638345";"facebook";"cpc";"campaign_1"
"4300";"1235998633.1726638525";"1726638574";"google";"cpc";"(not set)"
"4301";"1302856589.1714026790";"1726638748";;;"(not set)"
"4302";"728484058.1726638513";"1726638764";;;"(not set)"
"4303";"603246760.1724768295";"1726638912";"google";"cpc";"(not set)"
"4304";"952516587.1715600009";"1726638921";"facebook";"cpc";"campaign_1"
"4305";"1963866598.1725453955";"1726638967";;;"(not set)"
"4306";"132363178.1726639065";"1726639292";;;"(not set)"
"4307";"476285663.1726639319";"1726639381";"google";"cpc";"(not set)"
"4308";"1243768431.1725602996";"1726639589";"facebook";"cpc";"campaign_1"
"4309";"979456052.1725548715";"1726639885";"google";"cpc";"(not set)"
"4310";"1713733553.1725002515";"1726640006";"google";"cpc";"(not set)"
"4311";"188168072.1724318235";"1726640058";"google";"cpc";"(not set)"
"4312";"235913246.1722156616";"1726640142";;;"(not set)"
"4313";"532166978.1726640220";"1726640245";"google";"cpc";"(not set)"
"4314";"1642810897.1721646769";"1726640386";"google";"cpc";"hu_brand"
"4315";"417955797.1726634072";"1726640402";;;"(not set)"
"4316";"536454427.1726640277";"1726640405";;;"(not set)"
"4317";"2029133184.1726640463";"1726640531";"(direct)";"(none)";"(not set)"
"4318";"eb846ea9-74a1-4c93-9607-0a0fc235d5b2";"1726641009";"(direct)";"(none)";"(not set)"
"4319";"44d9e7a6-e572-446e-aa65-b21e50cf62a9";"1726641009";"(direct)";"(none)";"(not set)"
"4320";"9ad16e34-3d6f-4bf8-9e55-bcf84c72eb10";"1726641009";"(direct)";"(none)";"(not set)"
"4321";"9933b3b7-8e72-48be-b429-7d91e94ef51a";"1726641009";"(direct)";"(none)";"(not set)"
"4322";"448695851.1726641029";"1726641180";;;"(not set)"
"4323";"954228396.1726641128";"1726641226";"google";"cpc";"(not set)"
"4325";"c40e835a-c2ca-4118-9d53-0cac42444cc5";"1726641009";"(direct)";"(none)";"(not set)"
"4326";"33e258da-1607-4d19-a5bf-2ec714faab48";"1726641009";"(direct)";"(none)";"(not set)"
"4327";"19664f84-d7a1-4092-b774-31cda2cc84ef";"1726641009";"google";"organic";"(not set)"
"4328";"1953759129.1726641561";"1726641604";"google";"cpc";"(not set)"
