,date,utm_source,utm_medium,utm_campaign,user_count,session_count,hotel_id
0,2024-09-18,(not set),(not set),(not set),545,690,hotel_1
1,2024-09-18,(direct),(none),(direct),253,304,hotel_1
2,2024-09-18,google,cpc,(not set),259,273,hotel_1
3,2024-09-18,google,organic,(organic),144,170,hotel_1
4,2024-09-18,facebook,cpc,campaign_14,125,128,hotel_1
5,2024-09-18,google,cpc,hu_brand,97,114,hotel_1
6,2024-09-18,google,cpc,campaign_15,99,105,hotel_1
7,2024-09-18,google,cpc,campaign_16,67,76,hotel_1
8,2024-09-18,google,cpc,campaign_17,54,58,hotel_1
9,2024-09-18,google,cpc,hu_pmax_brand,41,43,hotel_1
10,2024-09-18,facebook,cpc,campaign_18,27,27,hotel_1
11,2024-09-18,facebook,referral,(referral),24,26,hotel_1
12,2024-09-18,facebook,referral,(referral),15,24,hotel_1
13,2024-09-18,google,cpc,campaign_19,15,24,hotel_1
14,2024-09-18,google,cpc,(organic),17,21,hotel_1
15,2024-09-18,msn,referral,(referral),13,17,hotel_1
16,2024-09-18,redir.d-edgeconnect.media,referral,(referral),16,17,hotel_1
17,2024-09-18,google,cpc,campaign_20,13,17,hotel_1
18,2024-09-18,ajanlat,offline,campaign_2,13,17,hotel_1
19,2024-09-18,google,cpc,campaign_22,11,14,hotel_1
20,2024-09-18,facebook,cpc,campaign_21,13,14,hotel_1
21,2024-09-18,google,cpc,campaign_24,9,14,hotel_1
22,2024-09-18,msn,referral,(referral),6,13,hotel_1
23,2024-09-18,source_1,referral,(referral),9,11,hotel_1
24,2024-09-18,google,cpc,campaign_23,10,10,hotel_1
25,2024-09-18,google,cpc,campaign_25,7,9,hotel_1
26,2024-09-18,ajanlat,offline,proposal-by-phone,7,9,hotel_1
27,2024-09-18,google,referral,(referral),8,8,hotel_1
28,2024-09-18,bing,cpc,campaign_36,0,8,hotel_1
29,2024-09-18,bing,cpc,campaign_9,8,8,hotel_1
30,2024-09-18,google,cpc,campaign_26,6,8,hotel_1
31,2024-09-18,facebook,referral,(referral),6,6,hotel_1
32,2024-09-18,bing,cpc,campaign_28,5,6,hotel_1
33,2024-09-18,google,cpc,utm_campaign,4,6,hotel_1
34,2024-09-18,bing,organic,(organic),4,5,hotel_1
35,2024-09-18,google,cpc,campaign_27,5,5,hotel_1
36,2024-09-18,seznam,organic,(organic),3,4,hotel_1
37,2024-09-18,bing,cpc,campaign_37,0,4,hotel_1
38,2024-09-18,google,cpc,campaign_30,3,4,hotel_1
39,2024-09-18,bing,cpc,campaign_29,4,4,hotel_1
40,2024-09-18,(direct),(none),(not set),2,3,hotel_1
41,2024-09-18,google,organic,(not set),3,3,hotel_1
42,2024-09-18,email.seznam.cz,referral,(referral),2,3,hotel_1
43,2024-09-18,hotelcms.hu,referral,(referral),3,3,hotel_1
44,2024-09-18,bing,cpc,campaign_13,0,3,hotel_1
45,2024-09-18,statics.teams.cdn.office.net,referral,(referral),1,2,hotel_1
46,2024-09-18,world.a1.net,referral,(referral),1,2,hotel_1
47,2024-09-18,bing,cpc,campaign_33,1,2,hotel_1
48,2024-09-18,source_9,newsletter,hirlevel_c3,1,2,hotel_1
49,2024-09-18,live,organic,(not set),0,1,hotel_1
50,2024-09-18,(direct),(none),(not set),1,1,hotel_1
51,2024-09-18,google,organic,(not set),1,1,hotel_1
52,2024-09-18,app.zoomsphere.com,referral,(referral),0,1,hotel_1
53,2024-09-18,connexservice.com,referral,(referral),1,1,hotel_1
54,2024-09-18,source_10,referral,(referral),1,1,hotel_1
55,2024-09-18,economica.net,referral,(referral),1,1,hotel_1
56,2024-09-18,source_22,referral,(referral),0,1,hotel_1
57,2024-09-18,instagram,referral,(referral),0,1,hotel_1
58,2024-09-18,google,referral,(referral),0,1,hotel_1
59,2024-09-18,zadir.hu,referral,(referral),0,1,hotel_1
60,2024-09-18,fb,paid,campaign_8,1,1,hotel_1
61,2024-09-18,bing,cpc,campaign_31,1,1,hotel_1
62,2024-09-18,bing,cpc,campaign_6,0,1,hotel_1
63,2024-09-18,bing,cpc,campaign_32,1,1,hotel_1
64,2024-09-18,google,cpc,campaign_34,1,1,hotel_1
65,2024-09-18,bing,cpc,campaign_38,0,1,hotel_1
