,id,search_log_id,adults,children,picked_price,picked_room,hotel_id
0,5794,112645,2,0,,,hotel_1
1,5797,112648,2,1,,,hotel_1
2,5829,112680,2,0,,,hotel_1
3,5831,112682,4,0,,,hotel_1
4,5863,112714,2,0,,,hotel_1
5,5906,112757,2,0,,,hotel_1
6,5907,112758,2,0,,,hotel_1
7,5908,112759,2,0,,,hotel_1
8,5909,112760,2,0,,,hotel_1
9,5910,112761,2,0,,,hotel_1
10,5911,112762,2,0,,,hotel_1
11,5913,112764,2,0,,,hotel_1
12,5914,112765,2,0,,,hotel_1
13,5915,112766,2,3,,,hotel_1
14,5916,112767,2,3,,,hotel_1
15,5917,112768,2,3,,,hotel_1
16,5919,112770,2,1,,,hotel_1
17,5920,112771,2,0,,,hotel_1
18,5921,112772,2,0,,,hotel_1
19,5922,112773,2,2,,,hotel_1
20,5923,112774,2,2,,,hotel_1
21,5924,112775,2,2,,,hotel_1
22,5925,112776,1,1,,,hotel_1
23,5926,112776,1,1,,,hotel_1
24,5927,112777,2,0,,,hotel_1
25,5928,112778,2,0,,,hotel_1
26,5929,112779,2,0,,,hotel_1
27,5930,112780,2,0,,,hotel_1
28,5931,112781,2,0,,,hotel_1
29,5932,112782,2,0,,,hotel_1
30,5933,112783,2,0,,,hotel_1
31,5934,112784,2,0,,,hotel_1
32,5935,112785,2,0,,,hotel_1
33,5936,112786,2,0,,,hotel_1
34,5937,112787,2,0,,,hotel_1
35,5938,112788,2,0,,,hotel_1
36,5939,112789,2,0,,,hotel_1
37,5940,112790,2,3,,,hotel_1
38,5941,112791,2,0,,,hotel_1
39,5942,112792,2,0,,,hotel_1
40,5943,112793,2,0,,,hotel_1
41,5944,112794,2,3,,,hotel_1
42,5945,112795,2,2,,,hotel_1
43,5946,112796,2,0,,,hotel_1
44,5947,112797,2,0,,,hotel_1
45,5948,112798,2,0,,,hotel_1
46,5949,112799,2,3,,,hotel_1
47,5950,112800,2,0,,,hotel_1
48,5951,112801,2,0,,,hotel_1
49,5952,112802,2,0,,,hotel_1
50,5953,112803,3,0,,,hotel_1
51,5954,112804,2,1,,,hotel_1
52,5955,112804,1,1,,,hotel_1
53,5956,112805,2,0,,,hotel_1
54,5957,112806,2,2,,,hotel_1
55,5958,112807,3,0,,,hotel_1
56,5959,112808,2,1,,,hotel_1
57,5960,112809,2,0,,,hotel_1
58,5961,112810,2,1,,,hotel_1
59,5962,112811,2,0,,,hotel_1
60,5963,112812,2,2,,,hotel_1
61,5964,112813,1,1,,,hotel_1
62,5965,112813,1,1,,,hotel_1
63,5966,112814,2,2,,,hotel_1
64,5967,112815,2,0,,,hotel_1
65,5968,112816,2,0,,,hotel_1
66,5969,112817,2,1,,,hotel_1
67,5970,112818,2,1,,,hotel_1
68,5971,112819,2,0,,,hotel_1
69,5972,112820,2,0,,,hotel_1
70,5973,112821,2,0,,,hotel_1
71,5974,112822,2,0,,,hotel_1
72,5975,112823,2,1,,,hotel_1
73,5976,112824,2,0,,,hotel_1
74,5977,112825,2,0,,,hotel_1
75,5978,112826,2,1,,,hotel_1
76,5979,112827,2,0,,,hotel_1
77,5980,112828,2,2,,,hotel_1
78,5981,112829,2,0,,,hotel_1
79,5983,112831,2,0,,,hotel_1
80,5984,112832,2,0,,,hotel_1
81,5985,112833,2,2,,,hotel_1
82,5986,112834,2,1,,,hotel_1
83,5987,112835,2,0,,,hotel_1
84,5988,112836,2,0,,,hotel_1
85,5989,112836,2,0,,,hotel_1
86,5990,112837,2,0,,,hotel_1
87,5991,112838,2,0,,,hotel_1
88,5992,112838,2,0,,,hotel_1
89,5993,112838,2,0,,,hotel_1
90,5994,112839,2,0,,,hotel_1
91,5995,112840,2,0,,,hotel_1
92,5996,112841,2,0,,,hotel_1
93,5997,112842,2,0,,,hotel_1
94,5998,112843,2,0,,,hotel_1
95,5999,112844,2,0,,,hotel_1
96,6000,112845,2,0,,,hotel_1
97,6001,112846,2,0,,,hotel_1
98,6002,112847,2,0,,,hotel_1
99,6003,112848,2,0,,,hotel_1
100,6004,112849,3,0,,,hotel_1
101,6005,112850,2,0,,,hotel_1
