,id,search_log_id,adults,children,picked_price,picked_room,hotel_id
0,5755,129533,1,1,,,hotel_3
1,5756,129534,1,0,,,hotel_3
2,5757,129535,2,1,,,hotel_3
3,5758,129536,2,0,,,hotel_3
4,5759,129537,2,0,,,hotel_3
5,5760,129538,2,0,,,hotel_3
6,5761,129539,2,0,,,hotel_3
7,5762,129540,2,0,,,hotel_3
8,5763,129541,2,0,,,hotel_3
9,5764,129542,2,0,,,hotel_3
10,5765,129543,2,0,,,hotel_3
11,5766,129544,2,0,,,hotel_3
12,5767,129545,2,0,,,hotel_3
13,5768,129546,2,0,,,hotel_3
14,5769,129547,2,1,,,hotel_3
15,5770,129548,2,1,,,hotel_3
16,5771,129549,2,2,,,hotel_3
17,5772,129550,1,2,,,hotel_3
18,5773,129551,2,0,,,hotel_3
19,5774,129552,2,1,,,hotel_3
20,5775,129553,2,1,,,hotel_3
21,5776,129554,1,2,,,hotel_3
22,5777,129555,2,2,,,hotel_3
23,5778,129556,2,2,,,hotel_3
24,5779,129557,2,2,,,hotel_3
25,5780,129558,2,0,,,hotel_3
26,5781,129559,2,0,,,hotel_3
27,5782,129560,1,0,,,hotel_3
28,5783,129560,2,0,,,hotel_3
29,5784,129561,1,0,,,hotel_3
30,5785,129561,2,0,,,hotel_3
31,5786,129562,1,1,,,hotel_3
32,5787,129563,1,0,,,hotel_3
33,5788,129563,2,0,,,hotel_3
34,5789,129564,1,1,,,hotel_3
35,5790,129565,1,1,,,hotel_3
36,5791,129566,1,0,,,hotel_3
37,5792,129566,2,0,,,hotel_3
38,5793,129567,1,0,,,hotel_3
39,5794,129567,2,0,,,hotel_3
40,5795,129568,2,0,,,hotel_3
41,5796,129569,2,0,,,hotel_3
42,5797,129570,2,0,,,hotel_3
43,5798,129571,2,0,,,hotel_3
44,5799,129572,2,0,,,hotel_3
45,5800,129573,2,0,,,hotel_3
46,5801,129574,2,0,,,hotel_3
47,5802,129575,2,0,,,hotel_3
48,5803,129576,2,0,,,hotel_3
49,5804,129577,2,0,,,hotel_3
50,5805,129578,2,0,,,hotel_3
51,5806,129579,2,0,,,hotel_3
52,5807,129580,2,0,,,hotel_3
53,5808,129581,2,0,,,hotel_3
