"id";"uuid";"session_id";"utm_source";"utm_medium";"utm_campaign"
"4034";"1145549807.1726611234";"1726611549";;;"(not set)"
"4037";"2039466988.1726611511";"1726611615";"facebook";"cpc";"campaign_1"
"4069";"1556994523.1726611965";"1726612033";"google";"cpc";
"4102";"901475575.1726612653";"1726612722";"google";"cpc";
"4145";"408000469.1726614788";"1726615007";;;"(not set)"
"4146";"1097283936.1726622460";"1726622848";;;"(not set)"
"4147";"2046757301.1726624293";"1726624385";"facebook";"cpc";"campaign_1"
"4148";"261439511.1726615929";"1726625458";"l.facebook.com";"referral";"(not set)"
"4150";"1877848240.1715013016";"1726631197";;;"(not set)"
"4151";"369265528.1726631243";"1726631350";;;"(not set)"
"4153";"1386321193.1726632616";"1726632681";"(direct)";"(none)";"(not set)"
"4154";"1304073186.1726331667";"1726632709";"google";"cpc";"hu_pmax_brand"
"4155";"270862531.1719673907";"1726632769";;;"(not set)"
"4156";"1312878807.1714135539";"1726632829";;;"(not set)"
"4157";"1020061150.1725873334";"1726632907";"google";"cpc";"(not set)"
"4158";"1522061108.1726546894";"1726633304";"facebook";"cpc";"campaign_1"
"4159";"1533169429.1726633772";"1726633874";;;"(not set)"
"4160";"421794480.1726633853";"1726634007";"google";"cpc";"hu_pmax_brand"
"4161";"1462885325.1726634368";"1726634435";;;"(not set)"
"4162";"810043846.1713843015";"1726634565";"google";"cpc";"hu_pmax_brand"
"4163";"1971804983.1726634508";"1726634568";;;"(not set)"
"4164";"896673736.1726634444";"1726634590";;;"(not set)"
"4165";"1811629401.1726306412";"1726634667";;;"(not set)"
"4166";"439205377.1726634344";"1726634750";;;"(not set)"
"4167";"1524145074.1726634343";"1726634850";;;"(not set)"
"4168";"1845591774.1726634686";"1726634850";"(direct)";"(none)";"(not set)"
"4169";"2114662708.1726559733";"1726635033";;;"(not set)"
"4170";"935700975.1726597701";"1726635399";;;"(not set)"
"4171";"836310086.1714714301";"1726635435";;;"(not set)"
"4172";"1975934372.1726083991";"1726635936";"google";"cpc";"hu_pmax_brand"
"4173";"1530490764.1726467263";"1726636230";"google";"organic";"(not set)"
"4174";"368960446.1726465979";"1726636302";;;"(not set)"
"4175";"445722159.1726636245";"1726636334";;;"(not set)"
"4176";"993960798.1714038957";"1726636651";"google";"cpc";"hu_brand"
"4177";"1408879783.1718880464";"1726636666";"www.kapu.hu";"referral";"(not set)"
"4178";"1165632336.1726199126";"1726636965";"facebook";"cpc";"campaign_1"
"4179";"581180701.1726637100";"1726637165";"facebook";"cpc";"campaign_1"
"4180";"1779497185.1726637280";"1726637349";"l.facebook.com";"referral";"(not set)"
"4181";"1776480123.1726637572";"1726637615";"google";"cpc";"hu_brand"
"4182";"17167614.1726637360";"1726637697";;;"(not set)"
"4183";"bcc7d23a-0877-4a70-9e75-8688b1dd468a";"1726637897";"google";"cpc";
"4184";"1486866591.1726637965";"1726637998";"google";"organic";"(not set)"
"4185";"1058973659.1726570404";"1726638011";"google";"organic";"(not set)"
"4186";"49306819.1714195638";"1726638455";;;"(not set)"
