,id,search_log_id,search_log_room_id,room_code,room_price_min,room_price_max,hotel_id
0,9217,76486,3782,ROOMCC,337680.0,337680.0,hotel_2
1,9218,76486,3782,ROOMBB,395280.0,395280.0,hotel_2
2,9219,76486,3782,ROOMFF,424080.0,424080.0,hotel_2
3,9338,76528,3824,ROOMDD,107712.0,107712.0,hotel_2
4,9339,76528,3824,ROOMAA,113832.0,113832.0,hotel_2
5,9340,76528,3824,ROOMGG,119952.0,119952.0,hotel_2
6,9392,76541,3837,ROOMBB,328032.0,352520.0,hotel_2
7,9393,76542,3838,ROOMBB,476.0,543.73,hotel_2
8,9394,76542,3838,ROOMFF,510.0,578.13,hotel_2
9,9395,76543,3839,ROOMEE,409390.8,522113.8,hotel_2
10,9396,76543,3839,ROOMHH,464470.8,584708.8,hotel_2
11,9397,76544,3840,ROOMBB,476.0,543.73,hotel_2
12,9398,76544,3840,ROOMFF,510.0,578.13,hotel_2
13,9399,76545,3841,ROOMEE,135966.0,168366.0,hotel_2
14,9400,76545,3841,ROOMHH,156831.0,189231.0,hotel_2
15,9401,76548,3844,ROOMHH,249574.0,294223.32,hotel_2
16,9402,76549,3845,ROOMDD,172800.0,220320.0,hotel_2
17,9403,76549,3845,ROOMAA,183600.0,232560.0,hotel_2
18,9404,76549,3845,ROOMGG,194400.0,244800.0,hotel_2
19,9405,76549,3845,ROOMCC,194400.0,244800.0,hotel_2
20,9406,76549,3845,ROOMBB,237600.0,293760.0,hotel_2
21,9407,76549,3845,ROOMFF,259200.0,318240.0,hotel_2
22,9408,76550,3846,ROOMDD,309.4,419.9,hotel_2
23,9409,76550,3846,ROOMAA,326.4,438.6,hotel_2
24,9410,76550,3846,ROOMGG,343.4,459.0,hotel_2
25,9411,76550,3846,ROOMCC,343.4,459.0,hotel_2
26,9412,76550,3846,ROOMBB,411.4,535.5,hotel_2
27,9413,76551,3847,ROOMDD,98544.0,139928.0,hotel_2
28,9414,76551,3847,ROOMAA,104480.0,146884.0,hotel_2
29,9415,76551,3847,ROOMGG,110418.0,153838.0,hotel_2
30,9416,76551,3847,ROOMCC,110418.0,153838.0,hotel_2
31,9417,76551,3847,ROOMBB,134162.0,181658.0,hotel_2
32,9418,76551,3847,ROOMFF,146036.0,195568.0,hotel_2
33,9419,76552,3848,ROOMAA,224884.0,256327.0,hotel_2
34,9420,76552,3848,ROOMGG,235360.0,267127.0,hotel_2
35,9421,76552,3848,ROOMCC,235360.0,267127.0,hotel_2
36,9422,76552,3848,ROOMBB,277264.0,310329.0,hotel_2
37,9423,76552,3848,ROOMFF,298216.0,331929.0,hotel_2
38,9424,76553,3849,ROOMDD,275.0,343.0,hotel_2
39,9425,76553,3849,ROOMAA,286.0,354.0,hotel_2
40,9426,76553,3849,ROOMCC,298.0,366.0,hotel_2
41,9427,76553,3849,ROOMBB,343.0,411.0,hotel_2
42,9428,76553,3849,ROOMFF,366.0,434.0,hotel_2
43,9429,76554,3850,ROOMDD,275.0,343.0,hotel_2
44,9430,76554,3850,ROOMBB,343.0,411.0,hotel_2
45,9431,76555,3851,ROOMDD,484.0,552.0,hotel_2
46,9432,76555,3851,ROOMBB,604.0,671.68,hotel_2
47,9433,76557,3854,ROOMDD,107712.0,146884.0,hotel_2
48,9434,76557,3854,ROOMAA,113832.0,153838.0,hotel_2
49,9435,76557,3854,ROOMGG,119952.0,160792.0,hotel_2
50,9436,76557,3854,ROOMCC,119952.0,160792.0,hotel_2
51,9437,76557,3854,ROOMBB,144432.0,188614.0,hotel_2
52,9438,76557,3854,ROOMFF,156672.0,202522.0,hotel_2
53,9439,76558,3855,ROOMCC,230724.0,230724.0,hotel_2
54,9440,76558,3855,ROOMEE,245351.0,245351.0,hotel_2
55,9441,76558,3855,ROOMHH,282071.0,282071.0,hotel_2
56,9442,76559,3856,ROOMCC,256275.0,288684.75,hotel_2
57,9443,76561,3858,ROOMCC,258876.0,291284.0,hotel_2
58,9444,76561,3858,ROOMEE,356796.0,389208.0,hotel_2
59,9445,76561,3858,ROOMHH,430236.0,462651.0,hotel_2
60,9446,76562,3859,ROOMCC,213588.0,213588.0,hotel_2
61,9447,76562,3859,ROOMEE,230908.0,230908.0,hotel_2
62,9448,76562,3859,ROOMHH,267628.0,267628.0,hotel_2
63,9449,76563,3860,ROOMDD,695.3,695.3,hotel_2
64,9450,76563,3860,ROOMAA,720.8,720.8,hotel_2
65,9451,76563,3860,ROOMGG,746.3,746.3,hotel_2
66,9452,76563,3860,ROOMCC,746.3,746.3,hotel_2
67,9453,76563,3860,ROOMBB,848.3,848.3,hotel_2
68,9454,76563,3860,ROOMFF,899.3,899.3,hotel_2
69,9455,76564,3861,ROOMDD,312.8,312.8,hotel_2
70,9456,76564,3861,ROOMAA,329.8,329.8,hotel_2
71,9457,76564,3861,ROOMGG,346.8,346.8,hotel_2
72,9458,76564,3861,ROOMCC,346.8,346.8,hotel_2
73,9459,76564,3861,ROOMBB,414.8,414.8,hotel_2
