,date,utm_source,utm_medium,utm_campaign,user_count,session_count,hotel_id
0,2024-09-18,(not set),(not set),(not set),425,551,hotel_2
1,2024-09-18,google,cpc,(organic),292,342,hotel_2
2,2024-09-18,google,cpc,(not set),206,232,hotel_2
3,2024-09-18,(direct),(none),(direct),175,220,hotel_2
4,2024-09-18,google,organic,(organic),145,170,hotel_2
5,2024-09-18,google,cpc,HU | pMAX | PERF I Brand,103,109,hotel_2
6,2024-09-18,google,cpc,HU | GSN | PERF I Brand,62,78,hotel_2
7,2024-09-18,google,cpc,AT | pMAX Hotel | PERF I Brand,55,59,hotel_2
8,2024-09-18,facebook,cpc,campaign_17,53,54,hotel_2
9,2024-09-18,google,cpc,HU | GSN | PERF I Lokáció,45,48,hotel_2
10,2024-09-18,google,cpc,HU | GSN | PERF I Brand 2,27,31,hotel_2
11,2024-09-18,facebook,cpc,campaign_18,27,30,hotel_2
12,2024-09-18,google,cpc,DE | pMAX Hotel | PERF I Brand,19,25,hotel_2
13,2024-09-18,bing,cpc,campaign_33,11,23,hotel_2
14,2024-09-18,google,cpc,AT | GSN | PERF I Brand,18,21,hotel_2
15,2024-09-18,facebook,referral,(referral),11,16,hotel_2
16,2024-09-18,hirlevel,ct,campaign_3,9,15,hotel_2
17,2024-09-18,facebook,cpc,campaign_19,15,15,hotel_2
18,2024-09-18,facebook,referral,(referral),6,12,hotel_2
19,2024-09-18,google,cpc,campaign_27,10,12,hotel_2
20,2024-09-18,google,cpc,CZ | pMAX | PERF I Brand,7,10,hotel_2
21,2024-09-18,ajanlat,offline,campaign_2,5,10,hotel_2
22,2024-09-18,redir.d-edgeconnect.media,referral,(referral),8,9,hotel_2
23,2024-09-18,bing,cpc,HU | GSN | Brand 2024,7,9,hotel_2
24,2024-09-18,google,cpc,HU | GDN | ENGM I Programok '24,7,8,hotel_2
25,2024-09-18,phone,offline,proposal-by-phone,2,7,hotel_2
26,2024-09-18,bing,organic,(organic),6,6,hotel_2
27,2024-09-18,google,cpc,(referral),2,5,hotel_2
28,2024-09-18,google,cpc,AT | GSN | PERF | Lokáció,5,5,hotel_2
29,2024-09-18,duckduckgo,organic,(organic),3,4,hotel_2
30,2024-09-18,facebook,cpc,campaign_20,3,4,hotel_2
31,2024-09-18,ajanlat,email,campaign_7,3,4,hotel_2
32,2024-09-18,bing,cpc,DE | GSN | Brand 2024,1,3,hotel_2
33,2024-09-18,google,cpc,campaign_21,3,3,hotel_2
34,2024-09-18,instagram,referral,(referral),0,2,hotel_2
35,2024-09-18,facebook,referral,(referral),2,2,hotel_2
36,2024-09-18,zadir.hu,referral,(referral),0,2,hotel_2
37,2024-09-18,bing,cpc,AT | GSN | Brand,0,2,hotel_2
38,2024-09-18,bing,cpc,AT | GSN | Brand 2024,2,2,hotel_2
39,2024-09-18,email,offline,proposal-by-phone,0,2,hotel_2
40,2024-09-18,(direct),(none),(not set),1,1,hotel_2
41,2024-09-18,app.zoomsphere.com,referral,(referral),1,1,hotel_2
42,2024-09-18,familypark.at,referral,(referral),1,1,hotel_2
43,2024-09-18,romaniatv.net,referral,(referral),1,1,hotel_2
44,2024-09-18,fb,paid,campaign_9,1,1,hotel_2
45,2024-09-18,google,cpc,CZ | GSN | PERF I Brand,1,1,hotel_2
46,2024-09-18,google,cpc,campaign_22,1,1,hotel_2
47,2024-09-18,google,cpc,HU | pMAX | Csomag,1,1,hotel_2
48,2024-09-18,google,cpc,campaign_23,1,1,hotel_2
49,2024-09-18,hirlevel_s1,newsletter,hirlevel_c1,1,1,hotel_2
50,2024-09-19,familypark.at,referral,(referral),1,3,hotel_2
51,2024-09-19,google,cpc,CZ | GSN | PERF I Brand,1,1,hotel_2
52,2024-09-19,(direct),(none),(direct),166,191,hotel_2
53,2024-09-19,google,cpc,(not set),159,168,hotel_2
54,2024-09-19,google,organic,(organic),123,141,hotel_2
55,2024-09-19,google,cpc,HU | pMAX | PERF I Brand,67,72,hotel_2
